"DATE initial_value","DOY initial_value","TA initial_value","PA initial_value","VOLUME_TOTAL","PORT","PORT_LABEL","SERIAL_NUMBER","OBSERVATION","TIMESTAMP_START","VOLUME","VOLUME","VOLUME","SERIAL_NUMBER","COLLAR_HEIGHT"
"2024-06-03 12:37:58",155.52637,26.09318,99.84,6926.9,1,"13",101,90,20240603123746,4073.5,19,55,"81A-1652",8
"2024-06-03 12:40:56",155.52843,-69.21682,99.88,6926.9,2,"14",101,90,20240603124044,4073.5,19,55,"81A-1652",8
"2024-06-03 12:43:55",155.5305,26.81364,99.9,6926.9,3,"15",101,90,20240603124343,4073.5,19,55,"81A-1652",8
"2024-06-03 12:46:54",155.53257,25.94136,99.9,6926.9,4,"16",101,90,20240603124642,4073.5,19,55,"81A-1652",8
"2024-06-03 12:49:40",155.53449,32.38909,99.9,6926.9,5,"10",101,90,20240603124940,4073.5,19,55,"81A-1652",8
"2024-06-03 12:52:39",155.53656,25.82727,99.9,6926.9,6,"9",101,90,20240603125227,4073.5,19,55,"81A-1652",8
"2024-06-03 12:55:38",155.53864,-68.82,99.9,6926.9,7,"49",101,90,20240603125526,4073.5,19,55,"81A-1652",8
"2024-06-03 13:37:43",155.56787,27.69818,99.84,6926.9,1,"13",101,90,20240603133731,4073.5,19,55,"81A-1652",8
"2024-06-03 13:40:41",155.56992,-68.52591,99.86,6926.9,2,"14",101,90,20240603134029,4073.5,19,55,"81A-1652",8
"2024-06-03 13:43:39",155.57198,27.34818,99.84,6926.9,3,"15",101,90,20240603134327,4073.5,19,55,"81A-1652",8
"2024-06-03 13:46:38",155.57405,26.65636,99.84,6926.9,4,"16",101,90,20240603134626,4073.5,19,55,"81A-1652",8
"2024-06-03 13:49:24",155.57597,31.92364,99.84,6926.9,5,"10",101,90,20240603134924,4073.5,19,55,"81A-1652",8
"2024-06-03 13:52:24",155.57806,26.59636,99.84,6926.9,6,"9",101,90,20240603135212,4073.5,19,55,"81A-1652",8
"2024-06-03 13:55:23",155.58013,-68.54818,99.84,6926.9,7,"49",101,90,20240603135510,4073.5,19,55,"81A-1652",8
"2024-06-03 14:37:43",155.60953,26.86727,99.77,6926.9,1,"13",101,90,20240603143731,4073.5,19,55,"81A-1652",8
"2024-06-03 14:40:41",155.61159,-68.73545,99.79,6926.9,2,"14",101,90,20240603144029,4073.5,19,55,"81A-1652",8
"2024-06-03 14:43:39",155.61365,27.25864,99.78,6926.9,3,"15",101,90,20240603144327,4073.5,19,55,"81A-1652",8
"2024-06-03 14:46:37",155.61571,26.85136,99.79,6926.9,4,"16",101,90,20240603144625,4073.5,19,55,"81A-1652",8
"2024-06-03 14:49:25",155.61765,34.585,99.79,6926.9,5,"10",101,90,20240603144925,4073.5,19,55,"81A-1652",8
"2024-06-03 14:52:24",155.61972,27.245,99.79,6926.9,6,"9",101,90,20240603145212,4073.5,19,55,"81A-1652",8
"2024-06-03 14:55:25",155.62182,-68.56909,99.79,6926.9,7,"49",101,90,20240603145512,4073.5,19,55,"81A-1652",8
"2024-06-03 15:37:43",155.65119,28.43364,99.75,6926.9,1,"13",101,90,20240603153731,4073.5,19,55,"81A-1652",8
"2024-06-03 15:40:41",155.65325,-68.35727,99.76,6926.9,2,"14",101,90,20240603154029,4073.5,19,55,"81A-1652",8
"2024-06-03 15:43:39",155.65531,26.85136,99.76,6926.9,3,"15",101,90,20240603154327,4073.5,19,55,"81A-1652",8
"2024-06-03 15:46:37",155.65737,26.24182,99.76,6926.9,4,"16",101,90,20240603154625,4073.5,19,55,"81A-1652",8
"2024-06-03 15:49:23",155.65929,33.41136,99.76,6926.9,5,"10",101,90,20240603154923,4073.5,19,55,"81A-1652",8
"2024-06-03 15:52:23",155.66138,25.79818,99.76,6926.9,6,"9",101,90,20240603155211,4073.5,19,55,"81A-1652",8
"2024-06-03 15:55:22",155.66345,-68.33636,99.76,6926.9,7,"49",101,90,20240603155510,4073.5,19,55,"81A-1652",8
"2024-06-03 16:37:43",155.69286,25.72591,99.72,6926.9,1,"13",101,90,20240603163731,4073.5,19,55,"81A-1652",8
"2024-06-03 16:40:41",155.69492,-69.34455,99.74,6926.9,2,"14",101,90,20240603164029,4073.5,19,55,"81A-1652",8
"2024-06-03 16:43:39",155.69698,25.20318,99.74,6926.9,3,"15",101,90,20240603164327,4073.5,19,55,"81A-1652",8
"2024-06-03 16:46:38",155.69905,24.97455,99.75,6926.9,4,"16",101,90,20240603164626,4073.5,19,55,"81A-1652",8
