LI-8100,LI-8100,LI-8100,,CHAMBER,LI-8100,LI-8100,LI-8100,LI-8100,LI-8150,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810
2024-06-02 09:31:20,154.396760,100.380000,6978.600000,20.739890,-12611856.341890,0.040290,-23420371.994500,0.009610,13,4.390090,-0.437100,11.906390,0.995300,0.968070,-2.070520,0.988480,0.903230,481.050000,2092.485200
2024-06-02 09:34:18,154.398820,100.400000,6978.600000,-70.034000,-625341.460070,0.000290,-625341.460070,0.000290,14,2.852130,-0.102530,14.370890,0.974960,0.887970,-2.134450,0.776690,0.469970,498.650000,2094.321710
2024-06-02 09:37:17,154.400890,100.390000,6978.600000,20.819330,95.952270,0.000010,95.952270,0.000010,15,5.355750,-0.349900,9.061450,0.992550,0.978560,-1.218730,0.958970,0.938660,468.950000,2098.459510
2024-06-02 09:40:16,154.402960,100.410000,6978.600000,20.924220,-54945.387280,0.006160,-13444.244460,0.002470,16,3.537610,-0.238590,6.046540,0.996600,0.989750,-0.675450,0.951930,0.936900,469.750000,2098.897920
2024-06-02 09:43:03,154.404900,100.410000,6978.600000,133.356260,34753.650930,0.046540,34753.650930,0.046540,10,0.027500,0.219080,0.027500,0.008840,0.008840,0.937460,0.897090,0.748160,467.280000,2097.819490
2024-06-02 09:46:03,154.406980,100.400000,6978.600000,20.940330,23058.602370,0.002680,23058.602370,0.002680,9,13.153320,-1.480710,13.184960,0.997620,0.997620,-1.480710,0.997400,0.997400,464.420000,2100.012020
2024-06-02 09:49:03,154.409060,100.390000,6978.600000,-69.734560,-1880163.480890,0.124990,-1687922.554080,0.096350,49,6.165630,-0.644860,6.180670,0.987510,0.987510,-0.644860,0.970800,0.970800,474.610000,2098.074870
2024-06-02 10:31:20,154.438430,100.330000,6978.600000,22.889780,601521.326720,0.009470,601521.326720,0.009470,13,2.562420,-0.297170,12.076380,0.982160,0.895140,-1.868670,0.963210,0.835620,463.540000,2102.796020
2024-06-02 10:34:19,154.440500,100.340000,6978.600000,-69.760560,-2193889.092370,0.001190,-43421050.649460,0.003660,14,1.661530,-0.034320,1.661530,0.621830,0.621830,-0.034320,0.044080,0.044080,473.650000,2102.704310
2024-06-02 10:37:19,154.442580,100.340000,6978.600000,23.053560,2093346.596890,0.000580,2093346.596890,0.000580,15,5.044580,-0.421840,8.057580,0.992930,0.982700,-1.004540,0.986170,0.944820,451.430000,2107.381430
2024-06-02 10:40:18,154.444650,100.350000,6978.600000,23.071560,70104.571140,0.007640,70104.571140,0.007640,16,2.056750,0.054530,5.150690,0.965060,0.935290,0.054530,0.348960,0.348960,459.180000,2110.702660
2024-06-02 10:43:04,154.446570,100.350000,6978.600000,134.947470,10363433.444110,0.109750,11019944.613330,0.104390,10,-0.371560,-0.425780,-1.959240,0.335900,0.285880,-0.425780,0.933530,0.933530,453.570000,2113.543600
2024-06-02 10:46:04,154.448660,100.350000,6978.600000,23.214670,-799398.542100,0.001630,-799398.542100,0.001630,9,13.717460,-1.497930,13.717460,0.998020,0.998020,-1.497930,0.998000,0.998000,474.730000,2101.897800
2024-06-02 10:49:04,154.450740,100.350000,6978.600000,-69.473780,432332.263960,0.104110,432332.263960,0.104110,49,5.697310,-0.861950,5.697310,0.994540,0.994540,-0.861950,0.991370,0.991370,461.520000,2108.279300
2024-06-02 11:31:20,154.480090,100.290000,6978.600000,24.517110,-20387961.641750,0.010540,-17333526.079900,0.009940,13,2.240130,-0.256910,7.191290,0.940970,0.893680,-1.197280,0.893000,0.820080,460.640000,2090.492640
